merchant_key,merchant_id,merchant_name,mcc,merchant_category,business_type,city,state,onboarding_date,settlement_account,merchant_status,declared_avg_ticket_size
825,MCH2704,Sengupta-Sarin,5699.0,Apparel & Fashion,Private Limited,Pune,Maharashtra,2023-03-08,TSWF3138170868556,Active,2593.67
826,MCH2708,"Mand, Zacharia And Vora",4131.0,Travel,Sole Proprietor,Chennai,Tamil Nadu,2026-01-20,XXXX2440,Active,363.56
827,MCH2709,"Iyengar, Dugar And Chacko",7011.0,Hotel & Lodging,Private Limited,Jaipur,Rajasthan,2023-09-16,XXXX4012,Active,2413.11
828,MCH2710,"Batta, Shetty And Ka1Ita",5699.0,Apparel & Fashion,Individual,Hyderabad,Telangana,2025-08-17,2640797887,Active,109.84
829,MCH2712,"Rai, Ghose And Wadhwa",5411.0,Grocery,Private Limited,Amritsar,Punjab,2023-09-30,XXXX9691,Active,2957.32
830,MCH2713,Dayal Group,5699.0,Apparel & Fashion,Individual,Pune,Maharashtra,2024-08-10,1734751668,On Hold,1199.07
831,MCH2718,"Krishna, Prabhu And Kara",7011.0,Hotel & Lodging,Individual,Bengaluru,Karnataka,2024-12-20,VEWG4998867762324,Active,529.14
832,MCH2719,"Ranganathan, Mall And Aggarwal",5812.0,Restaurants & Food,Partnership,Lucknow,Uttar Pradesh,2024-05-24,,Active,2283.24
833,MCH2723,Purohit-Dani,,Restaurants & Food,Individual,Amritsar,Punjab,2024-04-16,XXXX6527,Active,1384.67
834,MCH2724,Aggarwal Group,5812.0,Restaurants & Food,Individual,Bengaluru,Karnataka,,2736138598,Active,
835,MCH2725,Varma-Loke,5812.0,Restaurants & Food,Partnership,Kolkata,West Bengal,2023-12-21,,Inactive,4486.37
836,MCH2726,"Rastogi, Behl And Purohit",5942.0,Books & Stationery,Sole Proprietor,Mumbai,Maharashtra,2025-04-04,XYEE0098710788916,Active,1692.27
837,MCH2727,Ahluwalia And Sons,5942.0,Books & Stationery,Partnership,Bengaluru,Karnataka,2023-07-24,FLWS4381228751020,Active,133.58
838,MCH2730,Nayar And Sons,7011.0,Hotel & Lodging,Sole Proprietor,Jaipur,Rajasthan,2023-06-30,,Active,1113.62
839,MCH2731,Krishna-Kumar,5311.0,Department Store,Private Limited,Ludhiana,Punjab,2025-12-18,XXXX8549,Active,1031.53
840,MCH2733,Chauhan Ltd,5411.0,Grocery,Sole Proprietor,Delhi,Delhi,2024-12-27,,Active,872.28
841,MCH2737,"Sani, Chowdhury And Ganesan",5999.0,Miscellaneous,Partnership,Bengaluru,Karnataka,2023-05-01,1105547451,Active,610.07
842,MCH2738,Yadav Group,5999.0,Miscellaneous,Individual,Pune,Maharashtra,2024-11-03,8802607832,Active,1282.34
843,MCH2741,"Palan, Bhalla And Srinivasan",5812.0,Restaurants & Food,Individual,Jaipur,Rajasthan,2025-12-19,XXXX0289,Active,1319.0
844,MCH2742,"Manne, Patil And Mukhopadhyay",5942.0,Books & Stationery,Sole Proprietor,Pune,Maharashtra,2025-10-03,JAUF9449397976214,Active,1389.0
845,MCH2743,Joshi Plc,,Pharmacy,Private Limited,Kolkata,West Bengal,2024-12-02,,Active,
846,MCH2744,"Divan, Narang And Jhaveri",5912.0,Medical,Partnership,Lucknow,Uttar Pradesh,2025-11-04,2199444279,Suspended,734.64
847,MCH2746,"Tella, Mane And Pillai",7011.0,Hotel & Lodging,Private Limited,Ludhiana,Punjab,2023-03-12,851637180,Inactive,395.56
848,MCH2748,"Banerjee, Wason And Dyal",5812.0,Restaurants & Food,Private Limited,Pune,Maharashtra,2023-11-16,XXXX5034,Active,1037.44
849,MCH2749,Borde Plc,7011.0,Hotel & Lodging,Partnership,Jalandhar,Punjab,2025-11-15,AKGD7711918524900,Active,299.85
850,MCH2750,Rao-Narayanan,5942.0,Books & Stationery,Individual,Ludhiana,Punjab,2024-05-13,,Active,
851,MCH2752,Palla Llc,4131.0,Travel,Sole Proprietor,Lucknow,Uttar Pradesh,2023-01-13,XXXX1787,Active,69.28
852,MCH2753,"Karan, Ganguly And Desai",5999.0,Miscellaneous,Private Limited,Amritsar,Punjab,2023-03-31,,Active,1254.6
853,MCH2754,Chahal Group,5812.0,Restaurants & Food,Sole Proprietor,Amritsar,Punjab,2023-09-27,,Active,1452.51
854,MCH2755,Chaudhuri And S0Ns,5942.0,Books & Stationery,Individual,Mumbai,Maharashtra,2025-11-29,,Active,440.0
855,MCH2757,Chhabra-Dugar,5699.0,Apparel & Fashion,Sole Proprietor,Kolkata,West Bengal,2025-11-16,XXXX2280,Active,1214.2
856,MCH2761,Sabharwa1-Pati1,5999.0,Miscellaneous,Private Limited,Hyderabad,Telangana,2025-04-04,,Inactive,2607.92
857,MCH2763,Thaman-Virk,5912.0,Pharmacy,Private Limited,Bengaluru,Karnataka,2025-07-23,XXXX7625,Active,563.88
858,MCH2764,"Yogi, Jani And Choudhry",4814.0,Telecom,Individual,Ludhiana,Punjab,2024-04-19,3163531350,Active,516.18
859,MCH2765,Mukhopadhyay Inc,5311.0,Department Store,Sole Proprietor,Lucknow,Uttar Pradesh,2024-11-19,XXXX9677,Active,3568.4
860,MCH2766,Kanda-Brahmbhatt,5311.0,Department Store,Sole Proprietor,Chennai,Tamil Nadu,2025-06-18,5339281473,Active,1540.08
861,MCH2767,"Munshi, Kohli And Pai",7011.0,Apparel & Fashion,Private Limited,Lucknow,Uttar Pradesh,2026-02-28,6694122395,Active,1994.09
862,MCH2769,Sehgal Plc,4814.0,Telecom,Private Limited,Amritsar,Punjab,2023-09-19,3613137952,Active,131.0
863,MCH2770,"Deep, Ganguly And Solanki",5699.0,Apparel & Fashion,Individual,Chennai,Tamil Nadu,2025-07-31,,Active,660.0
864,MCH2772,Rajagopalan-Lal,5699.0,Apparel & Fashion,Partnership,Jalandhar,Punjab,2025-05-03,YDTF9778396986125,Suspended,594.07
865,MCH2776,Datta Ltd,4814.0,Telecom,Partnership,Jaipur,Rajasthan,2024-11-09,QUCG6914808410390,Active,1643.13
866,MCH2778,Madan Plc,5912.0,Medical,Sole Proprietor,Amritsar,Punjab,2024-03-25,XXXX3934,Active,4029.72
867,MCH2786,Gola Inc,5699.0,Apparel & Fashion,Partnership,Chennai,Tamil Nadu,2024-12-19,XXXX8423,Active,576.47
868,MCH2788,"Dash, Mallick And Sachdev",5812.0,Restaurants & Food,Individual,Bengaluru,Karnataka,2025-04-06,WZXG3956270476463,Active,3989.94
869,MCH2789,Peri-Panchal,5311.0,Department Store,Partnership,Jalandhar,Punjab,,,Active,1044.19
870,MCH2791,"Rastogi, Mannan And Sabharwal",4131.0,Pharmacy,Sole Proprietor,Delhi,Delhi,2025-08-21,,Active,
871,MCH2792,"Varkey, Uppal And Mitter",,Transportation,Partnership,Delhi,Delhi,2024-11-06,4127542367,Active,130.0
872,MCH2797,Sandhu-Singh,7011.0,Hotel & Lodging,Partnership,Bengaluru,Karnataka,2025-05-27,XXXX2336,Active,1083.54
873,MCH2799,Kadakia-Nayak,5812.0,Restaurants & Food,Sole Proprietor,Delhi,Delhi,2025-05-04,LDOE2045126421896,Active,
874,MCH2800,Raja-Naik,5311.0,Department Store,Private Limited,Bengaluru,Karnataka,2024-04-18,9493307388,Inactive,1096.85
875,MCH2801,"Khurana, Oza And Divan",4814.0,Telecom,Private Limited,Delhi,Delhi,2025-10-14,,Active,406.76
876,MCH2806,"Raman, Aggarwal And Salvi",5999.0,Miscellaneous,Partnership,Hyderabad,Telangana,2024-10-16,,Active,2271.51
877,MCH2813,"Sha, Bhatia And Vig",,Department Store,Individual,Chennai,Tamil Nadu,2024-10-24,5399147177,Active,3821.16
878,MCH2814,"Sani, Khare And Ramachandran",5912.0,Medical,Partnership,Jalandhar,Punjab,2024-02-24,XXXX1070,Active,1581.52
879,MCH2816,Behl Group,5812.0,Restaurants & Food,Sole Proprietor,Amritsar,Punjab,2023-02-17,UHYF4970596803050,Inactive,5297.33
880,MCH2817,"Hayre, Ramesh And Parikh",4814.0,Telecom,Individual,Kolkata,West Bengal,2025-04-23,HCIS1374268781822,Active,1790.3
881,MCH2818,Sibal Inc,5411.0,Grocery,Sole Proprietor,Jalandhar,Punjab,2025-06-03,HHRP3016788161129,Active,600.04
882,MCH2825,Ku1Karni Inc,4814.0,Telecom,Individual,Ludhiana,Punjab,2023-07-18,QGWN3520325181186,Active,1291.01
883,MCH2827,Bala-Bhatti,5999.0,Miscellaneous,Individual,Bengaluru,Karnataka,2024-05-10,5191749246,Inactive,381.0
884,MCH2829,Narain Ltd,5999.0,Miscellaneous,Sole Proprietor,Bengaluru,Karnataka,2023-02-15,,Active,1912.36
885,MCH2830,"Joshi,Chaudhariandtoor",5411.0,Grocery,Individual,Bengaluru,Karnataka,2023-04-15,,Active,756.0
886,MCH2831,Rastogi-Devi,,Miscellaneous,Private Limited,Delhi,Delhi,2023-10-20,XXXX4746,Active,501.88
887,MCH2832,Parmer Inc,5311.0,Retail,Private Limited,Pune,Maharashtra,2025-10-26,,Active,831.48
888,MCH2833,Kapoor-Shankar,7011.0,Hotel & Lodging,Sole Proprietor,Jalandhar,Punjab,,VEQH1532066637768,Active,474.69
889,MCH2836,Rai And Sons,5912.0,Pharmacy,Private Limited,Chennai,Tamil Nadu,2024-07-15,XXXX2773,Inactive,3262.99
890,MCH2838,Bose-Bir,4814.0,Telecom,Sole Proprietor,Chennai,Tamil Nadu,2024-07-25,,Active,3409.39
891,MCH2839,"Brar, Varughese And Cherian",5411.0,Grocery,Partnership,Pune,Maharashtra,2025-04-21,,Active,614.31
892,MCH2841,"Memon, Samra And Rajagopal",5942.0,Books & Stationery,Sole Proprietor,Mumbai,Maharashtra,2024-06-13,,Active,
893,MCH2842,Anne Ltd,5699.0,Apparel & Fashion,Partnership,Delhi,Delhi,2023-03-04,,Active,1642.14
894,MCH2844,Misra-Seth,4131.0,Transportation,Individual,Amritsar,Punjab,2023-05-24,XXXX4860,Active,162.5
895,MCH2845,Narasimhan Llc,5999.0,Miscellaneous,Partnership,Amritsar,Punjab,2024-01-10,2844893176,Active,5926.94
896,MCH2846,"Sha, Ramanathan And Kota",5411.0,Grocery,Individual,Jaipur,Rajasthan,2025-09-30,2763596998,Inactive,2995.95
897,MCH2849,"Bhavsar, Kota And Zacharia",7011.0,Hotel & Lodging,Private Limited,Ludhiana,Punjab,2025-09-23,,Active,2432.18
898,MCH2850,Reddy-Kara,4131.0,Transportation,Private Limited,Jaipur,Rajasthan,2024-04-22,XXXX7186,Active,
899,MCH2851,Kalla-Jain,7011.0,Hotel & Lodging,Individual,Mumbai,Maharashtra,2025-11-29,XXXX3740,Active,3022.0
900,MCH2857,Bhattacharyya Inc,4131.0,Transportation,Private Limited,Jalandhar,Punjab,2025-07-13,AFIK7241528245690,Active,4557.38
901,MCH2859,"Doctor, Bir And Lanka",5411.0,Grocery,Private Limited,Hyderabad,Telangana,2025-04-03,,Active,2296.45
902,MCH2860,Ahluwalia Ltd,7011.0,Hotel & Lodging,Private Limited,Bengaluru,Karnataka,2026-01-27,EAAS5526551207941,Active,250.0
903,MCH2861,Hayer Inc,5311.0,Department Store,Private Limited,Pune,Maharashtra,2024-11-09,XXXX6916,Active,676.0
904,MCH2862,Bhasin Group,5699.0,Apparel & Fashion,Partnership,Jaipur,Rajasthan,2023-07-20,FHYX9050690414655,Active,544.8
905,MCH2870,"Loyal, Buch And Ghose",5812.0,Restaurants & Food,Sole Proprietor,Delhi,Delhi,2025-05-27,,Active,2213.61
906,MCH2875,Chander-Parmer,5311.0,Department Store,Partnership,Ludhiana,Punjab,2024-11-12,XXXX0207,Active,351.55
907,MCH2879,"Pillay, Vora And Karnik",5812.0,Restaurants & Food,Individual,Ludhiana,Punjab,2024-05-20,9486638654,Active,
908,MCH2881,J0Ha1 Plc,,Restaurants & Food,Partnership,Amritsar,Punjab,2023-05-16,WTST5086684279337,Active,807.63
909,MCH2884,Malhotra-Sarin,5942.0,Books & Stationery,Sole Proprietor,Pune,Maharashtra,2025-02-27,,Active,683.54
910,MCH2885,"Varkey, Goda And Bala",5812.0,Restaurants & Food,Private Limited,Mumbai,Maharashtra,2023-01-23,317882844,Active,4853.92
911,MCH2886,"Raja, Hayre And Deshmukh",5912.0,Medical,Private Limited,Kolkata,West Bengal,2024-07-04,,Active,511.0
912,MCH2887,Rau-Saha,5699.0,Apparel & Fashion,Sole Proprietor,Delhi,Delhi,2023-08-17,XXXX7555,Active,
913,MCH2888,Chahal Llc,5912.0,Pharmacy,Private Limited,Mumbai,Maharashtra,2023-04-21,XXXX3951,Active,631.05
914,MCH2894,Rege-Baria,5699.0,Apparel & Fashion,Private Limited,Delhi,Delhi,2024-12-22,XXXX3813,Active,2107.84
915,MCH2896,Jayaraman-Nazareth,5912.0,Medical,Private Limited,Kolkata,West Bengal,2025-07-30,,Active,1312.79
916,MCH2897,Bath Ltd,5999.0,Miscellaneous,Private Limited,Hyderabad,Telangana,2025-07-23,,Active,2239.12
917,MCH2899,Golla Ltd,4131.0,Transportation,Partnership,Jaipur,Rajasthan,,EGFZ1016369573887,Active,5018.99
918,MCH2902,Samra-Kapur,5411.0,Grocery,Individual,Chennai,Tamil Nadu,2024-04-24,XXXX9404,Active,
919,MCH2903,Swamy-Parsa,5699.0,Apparel & Fashion,Individual,Mumbai,Maharashtra,2023-04-14,,Inactive,1218.16
920,MCH2904,Iyengar-Comar,5999.0,Miscellaneous,Private Limited,Delhi,Delhi,2026-01-05,XXXX7160,Active,1147.91
921,MCH2905,Goyal-Gopal,5912.0,Medical,Individual,Delhi,Delhi,2024-02-13,,Suspended,2312.5
922,MCH2907,Varughese-Mani,5912.0,Medical,Sole Proprietor,Chennai,Tamil Nadu,2023-04-25,,Active,1106.0
923,MCH2910,"Mall, Sankaran And Mittal",4131.0,Transportation,Private Limited,Delhi,Delhi,2025-09-28,XXXX0107,Active,3631.28
924,MCH2912,Natt-Kohli,4131.0,Grocery,Private Limited,Jalandhar,Punjab,2024-07-09,XXXX0399,Inactive,1895.43
925,MCH2914,Sharaf-Tara,5311.0,Retail,Individual,Kolkata,West Bengal,2025-02-07,,Active,542.0
926,MCH2915,"Chakrabarti, Hora And Sha",4814.0,Telecom,Partnership,Chennai,Tamil Nadu,2024-03-15,1253622214,Active,18355.56
927,MCH2917,"Deol, Kibe And Khanna",5999.0,Miscellaneous,Private Limited,Delhi,Delhi,2024-07-23,XXXX8419,Active,356.58
928,MCH2919,Menon-Vaidya,7011.0,Pharmacy,Sole Proprietor,Delhi,Delhi,2023-03-20,,Active,3825.85
929,MCH2921,Bakshi-Narayanan,7011.0,Hotel & Lodging,Private Limited,Lucknow,Uttar Pradesh,2024-06-18,XXXX0910,Active,
930,MCH2922,Chhabra-Jha,5999.0,Miscellaneous,Sole Proprietor,Mumbai,Maharashtra,2024-10-10,FAIS4263479017973,Active,
931,MCH2923,Bahri Plc,5912.0,Pharmacy,Sole Proprietor,Bengaluru,Karnataka,2024-11-11,,Active,1195.19
932,MCH2924,Chaudhary-Dugar,5942.0,Books & Stationery,Individual,Mumbai,Maharashtra,2024-12-26,2683760099,Active,770.99
933,MCH2926,Sule-Thaker,5942.0,Books & Stationery,Partnership,Bengaluru,Karnataka,2024-12-16,XXXX3557,Active,1590.53
934,MCH2928,"Hans, Parmer And Buch",5812.0,Restaurants & Food,Private Limited,Ludhiana,Punjab,2025-12-04,,Inactive,1903.0
935,MCH2934,Sama Plc,,Department Store,Individual,Jalandhar,Punjab,2023-10-13,6130921180,Active,1759.02
936,MCH2938,"Babu, Lata And Zacharia",5411.0,Grocery,Private Limited,Pune,Maharashtra,2024-09-06,ZZOP9174222804228,Active,823.9
937,MCH2941,Sengroup,5311.0,Department Store,Sole Proprietor,Mumbai,Maharashtra,2024-09-22,XXXX4390,Active,1783.76
938,MCH2943,Kh0S1A Llc,5812.0,Restaurants & Food,Private Limited,Mumbai,Maharashtra,2024-03-29,XXXX8006,Active,2741.64
939,MCH2945,Agarwa1-Cherian,5912.0,Telecom,Sole Proprietor,Jalandhar,Punjab,2025-10-06,XXXX2889,Inactive,1759.15
940,MCH2946,Divan Inc,4814.0,Telecom,Private Limited,Jaipur,Rajasthan,2024-09-22,XXXX7575,Active,1246.97
941,MCH2949,"Mahal, Natt And Ghosh",5999.0,Miscellaneous,Partnership,Jaipur,Rajasthan,2024-07-19,6197525290,Active,
942,MCH2950,"Rastogi, Bhavsar And Varghese",5942.0,Books & Stationery,Private Limited,Bengaluru,Karnataka,2024-11-26,6783380146,Active,2370.66
943,MCH2951,"Thakur, Subramaniam And Agrawal",7011.0,Hotel & Lodging,Partnership,Mumbai,Maharashtra,2026-02-06,506591392,Active,
944,MCH2954,Gour Group,5912.0,Medical,Partnership,Kolkata,West Bengal,2024-02-13,,Active,1398.0
945,MCH2956,"Wali, Khatri And Mistry",4814.0,Telecom,Sole Proprietor,Lucknow,Uttar Pradesh,2025-06-02,3651063150,Inactive,4934.63
946,MCH2959,Kanda Llc,5812.0,Restaurants & Food,Private Limited,Kolkata,West Bengal,2023-10-08,,Active,6588.76
947,MCH2960,Malhotra-Buch,4131.0,Transportation,Private Limited,Chennai,Tamil Nadu,2023-06-01,XXXX6660,Active,2348.07
948,MCH2962,"Naik, Ranganathan And Sahota",4814.0,Telecom,Partnership,Pune,Maharashtra,2024-08-23,XXXX5665,Active,174.64
949,MCH2964,Bala-Sarkar,4814.0,Telecom,Individual,Jalandhar,Punjab,2025-06-20,4343067882,Active,1298.45
950,MCH2965,Shroff-Prabhakar,5411.0,Grocery,Partnership,Amritsar,Punjab,,FISH8890557164281,Active,2028.0
951,MCH2969,Randhawa-Karnik,7011.0,Hotel & Lodging,Sole Proprietor,Bengaluru,Karnataka,2023-07-27,,Active,310.59
952,MCH2970,Golla-Vora,5699.0,Apparel & Fashion,Individual,Kolkata,West Bengal,2025-02-01,,Active,326.25
953,MCH2971,"Garg, Merchant And Kuruvilla",5699.0,Apparel & Fashion,Individual,Ludhiana,Punjab,2024-08-28,,Active,
954,MCH2973,"Bhargava, Dani And Krishnamurthy",4131.0,Transportation,Partnership,Ludhiana,Punjab,2023-08-30,,Active,3748.31
955,MCH2975,"Bora, Mander And Dalal",5942.0,Books & Stationery,Sole Proprietor,Chennai,Tamil Nadu,2023-09-05,,Inactive,3477.51
956,MCH2978,Deshpande Llc,7011.0,Hotel & Lodging,Private Limited,Lucknow,Uttar Pradesh,2023-02-01,XXXX0228,Active,194.6
957,MCH2979,"Kurian, Guha And Gaba",5999.0,Miscellaneous,Individual,Chennai,Tamil Nadu,2023-03-11,XXXX6692,Active,7883.21
958,MCH2980,Mander And Sons,5411.0,Grocery,Sole Proprietor,Kolkata,West Bengal,2023-04-03,,Active,1129.72
959,MCH2981,"Rastogi, Varma And Sarraf",5999.0,Miscellaneous,Partnership,Lucknow,Uttar Pradesh,2023-10-07,XXXX3025,Active,1266.61
960,MCH2986,Kade-Anne,4131.0,Travel,Partnership,Amritsar,Punjab,2025-11-29,,Suspended,736.81
961,MCH2988,"Mangal, Gokhale And Malhotra",5812.0,Restaurants & Food,Sole Proprietor,Mumbai,Maharashtra,2023-10-10,,Active,3595.96
962,MCH2990,Rout And Sons,7011.0,Hotel & Lodging,Sole Proprietor,Ludhiana,Punjab,2025-08-30,XXXX7294,Active,1050.53
963,MCH2993,"Dube, Yadav And Konda",5942.0,Books & Stationery,Individual,Jaipur,Rajasthan,2025-07-14,WWQW1736251351915,Active,2422.76
964,MCH2994,Ratta Group,4131.0,Transportation,Partnership,Ludhiana,Punjab,2023-11-14,GYYN8574685496959,Active,2132.38
965,MCH2995,Patil Ltd,7011.0,Hotel & Lodging,Private Limited,Amritsar,Punjab,2025-12-25,2612684538,Active,492.36
966,MCH2996,Rege-Khanna,5411.0,Grocery,Individual,Lucknow,Uttar Pradesh,2023-10-15,,Inactive,
967,MCH2997,Mohanty Ltd,7011.0,Hotel & Lodging,Individual,Bengaluru,Karnataka,2024-10-16,AVZS8243524193975,Active,2948.35
968,MCH3002,"Dey, Chopra And Vig",5699.0,Apparel & Fashion,Individual,Ludhiana,Punjab,2024-10-27,7833308029,Active,761.12
969,MCH3005,"Saxena, Narain And Mander",5699.0,Apparel & Fashion,Private Limited,Kolkata,West Bengal,2024-03-25,RIGO9314848159457,Inactive,1149.79
970,MCH3006,Biswas-Ram,5999.0,Miscellaneous,Individual,Lucknow,Uttar Pradesh,2023-08-14,XXXX8226,Active,638.0
971,MCH3008,"Datta, Sarkar And Nori",5311.0,Department Store,Partnership,Ludhiana,Punjab,2024-11-11,,Active,
972,MCH3011,"Ahluwalia, Contractor And Comar",5311.0,Department Store,Sole Proprietor,Delhi,Delhi,2023-11-30,XXXX1217,Inactive,2626.62
973,MCH3012,Sathe Llc,,Grocery,Private Limited,Chennai,Tamil Nadu,2024-10-23,,On Hold,448.76
974,MCH3014,Nagarajan-Bandi,5311.0,Retail,Individual,Delhi,Delhi,2025-06-09,XXXX4761,Active,3013.17
975,MCH3017,Ramanathan And Sons,5311.0,Department Store,Partnership,Delhi,Delhi,2024-07-06,,Active,
976,MCH3021,"Gupta, Mukherjee And Setty",4131.0,Transportation,Sole Proprietor,Mumbai,Maharashtra,2026-02-14,XXXX2366,Active,614.86
977,MCH3023,Raj-Bajwa,4131.0,Transportation,Partnership,Lucknow,Uttar Pradesh,2024-10-11,YYPA0272541440376,Active,6135.0
978,MCH3024,Kade-Bhatia,5812.0,Restaurants & Food,Partnership,Delhi,Delhi,2025-09-22,,Active,2093.0
979,MCH3025,"Sachdeva, Bora And Hegde",4131.0,Transportation,Private Limited,Pune,Maharashtra,2024-08-15,3805315664,Active,611.84
980,MCH3029,Sarma Plc,4131.0,Transportation,Sole Proprietor,Mumbai,Maharashtra,2024-06-15,1403660080,Active,163.28
981,MCH3030,"Sengupta, Bhagat And Kota",5942.0,Books & Stationery,Private Limited,Chennai,Tamil Nadu,2025-07-09,,Active,194.19
982,MCH3031,Morar And Sons,5411.0,Grocery,Individual,Pune,Maharashtra,2025-04-23,,Active,4053.43
983,MCH3037,Wagle Ltd,5411.0,Grocery,Individual,Hyderabad,Telangana,2026-01-30,XXXX1382,Active,2391.24
984,MCH3039,Murty Inc,5411.0,Grocery,Individual,Delhi,Delhi,2023-12-03,SVKA2268543185915,Active,1465.47
985,MCH3040,"Dhar, Kunda And Desai",5411.0,Grocery,Partnership,Jaipur,Rajasthan,2025-03-05,,Active,267.0
986,MCH3044,Gupta Plc,5942.0,Books & Stationery,Sole Proprietor,Bengaluru,Karnataka,2023-04-27,,Inactive,582.54
987,MCH3046,Walla Plc,5942.0,Books & Stationery,Private Limited,Jalandhar,Punjab,2023-03-12,DJCZ8193007555479,On Hold,6756.54
988,MCH3048,Kala Group,7011.0,Hotel & Lodging,Private Limited,Jaipur,Rajasthan,2023-11-11,,Active,613.58
989,MCH3051,Hora-Mahajan,5699.0,Apparel & Fashion,Private Limited,Jaipur,Rajasthan,2023-03-04,,Active,3699.21
990,MCH3055,"Batta, Sha And Dugar",7011.0,Hotel & Lodging,Private Limited,Chennai,Tamil Nadu,2025-08-18,XXXX2455,Active,262.1
991,MCH3057,Nagy-Banik,5311.0,Department Store,Partnership,Kolkata,West Bengal,2024-03-15,PCQH3034924487610,Active,764.15
992,MCH3058,Patla-Padmanabhan,5942.0,Books & Stationery,Individual,Pune,Maharashtra,2024-10-18,OBXD4944464643223,Active,974.77
993,MCH3060,Deep-Tata,5311.0,Department Store,Individual,Amritsar,Punjab,2023-04-17,,Active,
994,MCH3061,Bansal Inc,5311.0,Department Store,Private Limited,Chennai,Tamil Nadu,2024-09-02,XXXX4596,Active,2114.75
995,MCH3063,Bansal Inc,4131.0,Transportation,Individual,Jaipur,Rajasthan,2025-07-02,,Inactive,282.67
996,MCH3069,Magar Inc,5699.0,Apparel & Fashion,Individual,Mumbai,Maharashtra,2024-10-18,,Active,5346.85
997,MCH3070,"Patel, Sandal And Sinha",4814.0,Telecom,Individual,Hyderabad,Telangana,2025-09-18,XXXX6846,Active,1706.27
998,MCH3071,Misra-Padmanabhan,5812.0,Restaurants & Food,Sole Proprietor,Ludhiana,Punjab,2024-07-24,IJYT4830685989652,Active,
999,MCH3072,Vora-Soman,5699.0,Apparel & Fashion,Individual,Amritsar,Punjab,2026-02-13,DNMO7101498768595,Active,1993.93
1000,MCH3075,Bedi-Ramanathan,4131.0,Transportation,Individual,Jalandhar,Punjab,2023-09-29,XXXX7029,Active,1301.0
1001,MCH3077,Warrior Ltd,4131.0,Transportation,Partnership,Kolkata,West Bengal,2023-02-04,,Active,1448.69
1002,MCH3078,"Gandhi, Rout And Sankaran",7011.0,Hotel & Lodging,Sole Proprietor,Bengaluru,Karnataka,2023-07-10,,Active,752.09
1003,MCH3079,"Bobal, Balay And Batra",7011.0,Hotel & Lodging,Private Limited,Bengaluru,Karnataka,,XXXX1002,Active,486.3
1004,MCH3080,Lad-Soman,5411.0,Grocery,Sole Proprietor,Jalandhar,Punjab,2024-12-01,,Active,
1005,MCH3081,"Anne, Choudhry And Nanda",5912.0,Medical,Partnership,Hyderabad,Telangana,2024-12-23,4317690840,Active,590.0
1006,MCH3084,Mani-Chowdhury,5699.0,Apparel & Fashion,Partnership,Hyderabad,Telangana,2023-09-27,,Active,1594.62
1007,MCH3085,Reddy-Wagle,7011.0,Hotel & Lodging,Sole Proprietor,Bengaluru,Karnataka,2025-05-27,,Active,258.0
1008,MCH3086,Pant Inc,5812.0,Restaurants & Food,Private Limited,Chennai,Tamil Nadu,2023-10-13,XXXX6152,Active,287.52
1009,MCH3088,Suresh Llc,5411.0,Grocery,Partnership,Chennai,Tamil Nadu,2024-03-08,,Active,4739.6
1010,MCH3089,Tata Plc,5942.0,Books & Stationery,Sole Proprietor,Jalandhar,Punjab,2025-08-30,XXXX2474,Active,
1011,MCH3092,"Dutta, Vasa And Jayaraman",5999.0,Miscellaneous,Private Limited,Amritsar,Punjab,,4110907056,Active,1605.55
1012,MCH3093,"Dube, Venkatesh And Jha",5999.0,Miscellaneous,Private Limited,Kolkata,West Bengal,2024-10-22,PHHT2563139884519,Active,1107.0
1013,MCH3094,Wag1E-Thakkar,5699.0,Apparel & Fashion,Individual,Bengaluru,Karnataka,2024-12-30,UIBH7195313053410,Active,1038.48
1014,MCH3095,Hans-Shan,5999.0,Miscellaneous,Partnership,Kolkata,West Bengal,2024-05-28,9222512011,Active,1208.82
1015,MCH3096,"Pradhan, Anne And Dhillon",5812.0,Restaurants & Food,Individual,Kolkata,West Bengal,2025-02-25,XXXX9447,Active,
1016,MCH3099,Peri-Parmer,5699.0,Apparel & Fashion,Partnership,Delhi,Delhi,2024-06-22,,Active,2046.1
1017,MCH3105,Bandi Plc,5311.0,Department Store,Sole Proprietor,Mumbai,Maharashtra,2026-01-05,1280850023,Active,1578.41
1018,MCH3107,Kapoor Inc,,Medical,Partnership,Pune,Maharashtra,2023-10-28,7807494643,Active,
1019,MCH3111,Cherian-G0Swami,,Telecom,Private Limited,Bengaluru,Karnataka,,,Active,1311.29
1020,MCH3119,Chana-Deshmukh,5311.0,Department Store,Private Limited,Hyderabad,Telangana,2024-12-02,,Active,4993.0
1021,MCH3122,"Toor, Kunda And Munshi",5942.0,Books & Stationery,Partnership,Mumbai,Maharashtra,2025-04-14,3432360123,Active,797.24
1022,MCH3123,"Hegde, Bahl And Comar",,Travel,Private Limited,Delhi,Delhi,2023-06-01,540867962,Active,2133.64
1023,MCH3125,Din-Dara,5699.0,Apparel & Fashion,Partnership,Delhi,Delhi,2025-11-15,NBXZ1237892442741,Active,3672.47
1024,MCH3129,"Ghose,Hariandgarde",5411.0,Grocery,Sole Proprietor,Ludhiana,Punjab,2025-06-27,GWXI4589298577824,Active,1908.27
